date,month,quarter,gnp,gdpdef,gdp,Target,
1/1/2000,2000-01,2000Q1,10035.263,77.325,10002.179,12935.252,
4/1/2000,2000-04,2000Q2,10283.391,77.807,10247.72,13170.749,
7/1/2000,2000-07,2000Q3,10348.645,78.263,10318.165,13183.89,
10/1/2000,2000-10,2000Q4,10490.43,78.688,10435.744,13262.25,
1/1/2001,2001-01,2001Q1,10510.297,79.204,10470.231,13219.251,
4/1/2001,2001-04,2001Q2,10647.427,79.683,10599,13301.394,
7/1/2001,2001-07,2001Q3,10623.039,79.996,10598.02,13248.142,
10/1/2001,2001-10,2001Q4,10748.408,80.245,10660.465,13284.881,
1/1/2002,2002-01,2002Q1,10833.143,80.504,10783.5,13394.91,
4/1/2002,2002-04,2002Q2,10918.384,80.783,10887.46,13477.356,
7/1/2002,2002-07,2002Q3,11027.515,81.172,10984.04,13531.741,
10/1/2002,2002-10,2002Q4,11120.565,81.638,11061.433,13549.421,
1/1/2003,2003-01,2003Q1,11217.689,82.045,11174.129,13619.434,
4/1/2003,2003-04,2003Q2,11369.131,82.328,11312.766,13741.107,
7/1/2003,2003-07,2003Q3,11621.172,82.796,11566.669,13970.157,
10/1/2003,2003-10,2003Q4,11851.792,83.306,11772.234,14131.379,
1/1/2004,2004-01,2004Q1,12021.455,83.895,11923.447,14212.34,
4/1/2004,2004-04,2004Q2,12185.61,84.569,12112.815,14323.017,
7/1/2004,2004-07,2004Q3,12386.919,85.112,12305.307,14457.832,
10/1/2004,2004-10,2004Q4,12581.653,85.77,12527.214,14605.595,
1/1/2005,2005-01,2005Q1,12854.364,86.453,12767.286,14767.846,
4/1/2005,2005-04,2005Q2,12996.998,87.082,12922.656,14839.707,
7/1/2005,2005-07,2005Q3,13225.668,87.874,13142.642,14956.291,
10/1/2005,2005-10,2005Q4,13378.959,88.585,13324.204,15041.232,
1/1/2006,2006-01,2006Q1,13654.952,89.209,13599.16,15244.088,
4/1/2006,2006-04,2006Q2,13802.877,90,13753.424,15281.525,
7/1/2006,2006-07,2006Q3,13906.646,90.628,13870.188,15304.517,
10/1/2006,2006-10,2006Q4,14083.697,90.967,14039.56,15433.643,
1/1/2007,2007-01,2007Q1,14258.594,91.839,14215.651,15478.956,
4/1/2007,2007-04,2007Q2,14463.277,92.453,14402.082,15577.779,
7/1/2007,2007-07,2007Q3,14681.751,92.933,14564.117,15671.605,
10/1/2007,2007-10,2007Q4,14875.943,93.327,14715.058,15767.146,
1/1/2008,2008-01,2008Q1,14857.342,93.655,14706.538,15702.906,
4/1/2008,2008-04,2008Q2,15023.21,94.13,14865.701,15792.773,
7/1/2008,2008-07,2008Q3,15075.73,94.84,14898.999,15709.562,
10/1/2008,2008-10,2008Q4,14704.022,95.065,14608.208,15366.607,
1/1/2009,2009-01,2009Q1,14551.583,95.018,14430.901,15187.475,
4/1/2009,2009-04,2009Q2,14504.001,94.852,14381.236,15161.772,
7/1/2009,2009-07,2009Q3,14631.307,94.954,14448.882,15216.647,
10/1/2009,2009-10,2009Q4,14826.345,95.267,14651.248,15379.155,
1/1/2010,2010-01,2010Q1,14968.896,95.526,14764.611,15456.059,
4/1/2010,2010-04,2010Q2,15187.024,95.992,14980.193,15605.628,
7/1/2010,2010-07,2010Q3,15339.711,96.282,15141.605,15726.282,
10/1/2010,2010-10,2010Q4,15522.781,96.846,15309.471,15807.995,
1/1/2011,2011-01,2011Q1,15574.331,97.346,15351.444,15769.911,
4/1/2011,2011-04,2011Q2,15780.006,97.989,15557.535,15876.839,
7/1/2011,2011-07,2011Q3,15893.499,98.595,15647.681,15870.684,
10/1/2011,2011-10,2011Q4,16102.819,98.714,15842.267,16048.702,
1/1/2012,2012-01,2012Q1,16315.076,99.313,16068.824,16179.968,
4/1/2012,2012-04,2012Q2,16435.293,99.713,16207.13,16253.726,
7/1/2012,2012-07,2012Q3,16548.815,100.23,16319.54,16282.151,
10/1/2012,2012-10,2012Q4,16647.723,100.738,16420.386,16300.035,
1/1/2013,2013-01,2013Q1,16845.017,101.141,16629.05,16441.485,
4/1/2013,2013-04,2013Q2,16928.625,101.428,16699.551,16464.402,
7/1/2013,2013-07,2013Q3,17151.537,101.906,16911.068,16594.743,
10/1/2013,2013-10,2013Q4,17368.794,102.515,17133.114,16712.76,
1/1/2014,2014-01,2014Q1,17381.812,102.942,17144.281,16654.247,
4/1/2014,2014-04,2014Q2,17691.165,103.525,17462.703,16868.109,
7/1/2014,2014-07,2014Q3,17995.3,103.977,17743.227,17064.616,
10/1/2014,2014-10,2014Q4,18075.379,104.15,17852.54,17141.235,
1/1/2015,2015-01,2015Q1,18214.218,104.113,17991.348,17280.647,
4/1/2015,2015-04,2015Q2,18405.862,104.677,18193.707,17380.875,
7/1/2015,2015-07,2015Q3,18520.403,104.989,18306.96,17437.08,
10/1/2015,2015-10,2015Q4,18565.145,104.979,18332.079,17462.579,
1/1/2016,2016-01,2016Q1,18640.558,104.895,18425.306,17565.465,
4/1/2016,2016-04,2016Q2,18827.942,105.636,18611.617,17618.581,
7/1/2016,2016-07,2016Q3,18995.777,105.929,18775.459,17724.489,
10/1/2016,2016-10,2016Q4,19243.922,106.487,18968.041,17812.56,
1/1/2017,2017-01,2017Q1,19427.462,107.025,19153.912,17896.623,
4/1/2017,2017-04,2017Q2,19585.223,107.369,19322.92,17996.802,
7/1/2017,2017-07,2017Q3,19864.059,107.903,19558.693,18126.226,
10/1/2017,2017-10,2017Q4,20219.956,108.67,19882.965,18296.685,
1/1/2018,2018-01,2018Q1,20460.314,109.261,20143.716,18436.262,
4/1/2018,2018-04,2018Q2,20793.247,110.234,20492.492,18590.004,
7/1/2018,2018-07,2018Q3,20930.65,110.597,20659.102,18679.599,
10/1/2018,2018-10,2018Q4,21101.077,111.175,20813.325,18721.281,
1/1/2019,2019-01,2019Q1,21254.334,111.514,21001.591,18833.195,
4/1/2019,2019-04,2019Q2,21564.924,112.152,21289.268,18982.528,
7/1/2019,2019-07,2019Q3,21780.753,112.517,21505.012,19112.653,
10/1/2019,2019-10,2019Q4,21955.98,112.978,21694.458,19202.31,
1/1/2020,2020-01,2020Q1,21721.267,113.346,21481.367,18951.992,
4/1/2020,2020-04,2020Q2,19649.442,112.859,19477.444,17258.205,
7/1/2020,2020-07,2020Q3,21365.412,113.888,21138.574,18560.774,
10/1/2020,2020-10,2020Q4,21728.223,114.439,21477.597,18767.778,
1/1/2021,2021-01,2021Q1,22273.06,115.652,22038.226,19055.655,
4/1/2021,2021-04,2021Q2,20922.08135,117.38,22722.581,19358.176,
date,month,quarter,gnp,gdpdef,gdp,Target,Label
7/1/2002,2002-07,2002Q3,11027.515,81.172,10984.04,13531.741,13629.99316
10/1/2003,2003-10,2003Q4,11851.792,83.306,11772.234,14131.379,14056.89941
4/1/2004,2004-04,2004Q2,12185.61,84.569,12112.815,14323.017,14216.54883
4/1/2008,2008-04,2008Q2,15023.21,94.13,14865.701,15792.773,15590.14453
7/1/2008,2008-07,2008Q3,15075.73,94.84,14898.999,15709.562,15589.37109
4/1/2016,2016-04,2016Q2,18827.942,105.636,18611.617,17618.581,17529.27344
7/1/2017,2017-07,2017Q3,19864.059,107.903,19558.693,18126.226,18114.67578
1/1/2018,2018-01,2018Q1,20460.314,109.261,20143.716,18436.262,18409.81055
4/1/2019,2019-04,2019Q2,21564.924,112.152,21289.268,18982.528,19000.25
